user_id,trainer_id,week_id,impressions,clicks,video_views,avg_watch_time,likes,label
1,632,1,5,0,1,0.04,0,0
1,635,1,3,0,0,0.24,0,0
1,964,1,3,2,2,0.92,0,1
1,626,1,4,2,2,0.9,0,1
1,366,1,2,0,2,0.1,0,0
2,802,1,4,2,2,0.78,1,1
2,505,1,3,1,1,0.87,0,1
2,447,1,4,0,0,0.35,0,0
2,555,1,1,0,0,0.48,0,0
2,938,1,1,0,0,0.22,0,0
2,511,1,2,1,1,0.67,0,1
2,568,1,4,2,2,0.98,1,1
2,539,1,4,1,1,0.85,1,1
3,201,1,4,2,2,0.78,0,1
3,620,1,4,1,1,0.93,0,1
3,225,1,2,0,1,0.41,0,0
3,249,1,3,0,0,0.17,0,0
3,609,1,5,1,1,0.9,0,1
4,956,1,2,0,1,0.47,1,0
4,698,1,3,0,1,0.24,0,0
4,569,1,3,0,1,0.09,0,0
4,150,1,3,2,2,0.68,0,1
4,60,1,4,0,2,0.25,0,0
4,595,1,2,1,1,0.93,0,1
4,981,1,3,1,1,0.91,0,1
5,611,1,5,0,2,0.08,1,0
5,80,1,5,1,1,0.76,1,1
5,856,1,1,0,0,0.28,0,0
5,813,1,3,0,1,0.13,1,0
5,616,1,2,1,1,0.73,1,1
6,828,1,4,0,1,0.14,0,0
6,40,1,1,0,0,0.19,0,0
6,798,1,3,0,1,0.45,0,0
7,471,1,4,0,0,0.35,0,0
7,281,1,2,0,0,0.27,0,0
8,994,1,2,1,1,0.73,0,1
8,395,1,1,0,0,0.05,0,0
8,61,1,1,0,0,0.37,0,0
8,257,1,3,1,1,0.82,0,1
8,142,1,4,0,0,0.06,0,0
9,265,1,5,4,4,0.61,1,1
9,777,1,4,1,1,0.62,1,1
9,45,1,2,0,1,0.49,0,0
10,917,1,2,1,1,0.8,0,1
10,98,1,3,1,1,0.72,1,1
10,107,1,5,0,2,0.25,0,0
10,347,1,3,1,1,0.85,0,1
10,764,1,2,1,1,0.71,1,1
